code,date,e,n,wqi
BD03,2023-09-01,106.468056,10.505556,66.3397299981017
BD03,2023-10-01,106.468056,10.505556,38.661053009498
BD03,2023-11-01,106.468056,10.505556,55.0420752420361
BD03,2023-12-01,106.468056,10.505556,53.4558629414915
BD03,2024-01-01,106.468056,10.505556,53.601691792206
BD03,2024-02-01,106.468056,10.505556,54.4887271818925
BD03,2024-03-01,106.468056,10.505556,35.6885701825555
BD03,2024-04-01,106.468056,10.505556,36.8673297296206
BD03,2024-05-01,106.468056,10.505556,56.7976473722642
BD03,2024-06-01,106.468056,10.505556,65.3252125446649
BD03,2024-07-01,106.468056,10.505556,38.3129374883874
BD03,2024-08-01,106.468056,10.505556,55.2550460838813
BD03,2024-09-01,106.468056,10.505556,53.9567097084782
BD03,2024-10-01,106.468056,10.505556,37.2229304397365
BD03,2024-11-01,106.468056,10.505556,34.6763894659713
BD03,2024-12-01,106.468056,10.505556,53.9271967990554
BD03,2025-01-01,106.468056,10.505556,53.6315652154452
BD03,2025-02-01,106.468056,10.505556,53.8332132408737
BD03,2025-03-01,106.468056,10.505556,54.2909180076543
BD03,2025-04-01,106.468056,10.505556,52.4233516949942
BD03,2025-05-01,106.468056,10.505556,38.019245852031
BD03,2025-06-01,106.468056,10.505556,37.5116732941494
BD04,2023-09-01,106.411111,10.533056,54.3434513844848
BD04,2023-10-01,106.411111,10.533056,38.3426734897441
BD04,2023-11-01,106.411111,10.533056,57.4196242370962
BD04,2023-12-01,106.411111,10.533056,57.0447984932475
BD04,2024-01-01,106.411111,10.533056,52.833145895109
BD04,2024-02-01,106.411111,10.533056,53.6365477529346
BD04,2024-03-01,106.411111,10.533056,45.0628972588525
BD04,2024-04-01,106.411111,10.533056,38.1073980807527
BD04,2024-05-01,106.411111,10.533056,38.6498354403955
BD04,2024-06-01,106.411111,10.533056,36.78126681478
BD04,2024-07-01,106.411111,10.533056,38.5538430578063
BD04,2024-08-01,106.411111,10.533056,59.5741918427019
BD04,2024-09-01,106.411111,10.533056,54.8427327447005
BD04,2024-10-01,106.411111,10.533056,37.2346277701102
BD04,2024-11-01,106.411111,10.533056,34.9794307857801
BD04,2024-12-01,106.411111,10.533056,55.8310877759896
BD04,2025-01-01,106.411111,10.533056,53.0856249876927
BD04,2025-02-01,106.411111,10.533056,54.0263311849186
BD04,2025-03-01,106.411111,10.533056,66.3563038470755
BD04,2025-04-01,106.411111,10.533056,38.7801977502313
BD04,2025-05-01,106.411111,10.533056,38.3383144211751
BD04,2025-06-01,106.411111,10.533056,36.3267969376144
BD05,2023-09-01,106.362778,10.555,66.3782856959527
BD05,2023-10-01,106.362778,10.555,36.0467600333067
BD05,2023-11-01,106.362778,10.555,63.9850990294207
BD05,2023-12-01,106.362778,10.555,65.0922581075554
BD05,2024-01-01,106.362778,10.555,66.4242880516775
BD05,2024-02-01,106.362778,10.555,53.5396063548882
BD05,2024-03-01,106.362778,10.555,65.4372150863987
BD05,2024-04-01,106.362778,10.555,36.3742877013861
BD05,2024-05-01,106.362778,10.555,53.9985927392957
BD05,2024-06-01,106.362778,10.555,66.4531598376717
BD05,2024-07-01,106.362778,10.555,37.4855367664691
BD05,2024-08-01,106.362778,10.555,5.08568809956685
BD05,2024-09-01,106.362778,10.555,65.7839252384966
BD05,2024-10-01,106.362778,10.555,54.6479138213311
BD05,2024-11-01,106.362778,10.555,35.8631332540345
BD05,2024-12-01,106.362778,10.555,63.5347395976647
BD05,2025-01-01,106.362778,10.555,66.3912856953703
BD05,2025-02-01,106.362778,10.555,54.4438464121929
BD05,2025-03-01,106.362778,10.555,65.0758448270921
BD05,2025-04-01,106.362778,10.555,64.9915505201623
BD05,2025-05-01,106.362778,10.555,65.9325571041106
BD05,2025-06-01,106.362778,10.555,54.1589499671468
BD06,2023-09-01,106.489167,10.378889,67.2383789022823
BD06,2023-10-01,106.489167,10.378889,38.8736458146955
BD06,2023-11-01,106.489167,10.378889,56.8070314777975
BD06,2023-12-01,106.489167,10.378889,56.6596749907917
BD06,2024-01-01,106.489167,10.378889,54.7603756339641
BD06,2024-02-01,106.489167,10.378889,56.3035199089408
BD06,2024-03-01,106.489167,10.378889,36.7284834699481
BD06,2024-04-01,106.489167,10.378889,37.7586162525655
BD06,2024-05-01,106.489167,10.378889,57.0291816407439
BD06,2024-06-01,106.489167,10.378889,66.6209074047461
BD06,2024-07-01,106.489167,10.378889,38.0797438667633
BD06,2024-08-01,106.489167,10.378889,56.6041736931955
BD06,2024-09-01,106.489167,10.378889,54.6868481026301
BD06,2024-10-01,106.489167,10.378889,44.7136965754489
BD06,2024-11-01,106.489167,10.378889,65.6021575111115
BD06,2024-12-01,106.489167,10.378889,57.0481319917604
BD06,2025-01-01,106.489167,10.378889,36.3064921203483
BD06,2025-02-01,106.489167,10.378889,65.6044268185607
BD06,2025-03-01,106.489167,10.378889,65.7276834687447
BD06,2025-04-01,106.489167,10.378889,37.4483291387259
BD06,2025-05-01,106.489167,10.378889,39.3570461454955
BD06,2025-06-01,106.489167,10.378889,55.2844153611193
BD09,2023-09-01,106.341111,10.389167,54.1219369998414
BD09,2023-10-01,106.341111,10.389167,44.3747534852295
BD09,2023-11-01,106.341111,10.389167,39.3030113862073
BD09,2023-12-01,106.341111,10.389167,53.4877064293855
BD09,2024-01-01,106.341111,10.389167,55.4559073868728
BD09,2024-02-01,106.341111,10.389167,57.5566373895987
BD09,2024-03-01,106.341111,10.389167,65.6436946442812
BD09,2024-04-01,106.341111,10.389167,35.2945003000429
BD09,2024-05-01,106.341111,10.389167,37.1546375468095
BD09,2024-06-01,106.341111,10.389167,67.0573729045322
BD09,2024-07-01,106.341111,10.389167,38.2317682412704
BD09,2024-08-01,106.341111,10.389167,60.2800353367858
BD09,2024-09-01,106.341111,10.389167,38.4121106840437
BD09,2024-10-01,106.341111,10.389167,54.0648654562085
BD09,2024-11-01,106.341111,10.389167,35.5524058245792
BD09,2024-12-01,106.341111,10.389167,65.9044146162777
BD09,2025-01-01,106.341111,10.389167,66.7438918603162
BD09,2025-02-01,106.341111,10.389167,65.6809240581054
BD09,2025-03-01,106.341111,10.389167,52.8112330895545
BD09,2025-04-01,106.341111,10.389167,65.2129054973737
BD09,2025-05-01,106.341111,10.389167,36.2394183888605
BD09,2025-06-01,106.341111,10.389167,66.8449503995349
BD1,2023-09-01,106.5825,10.428611,56.5905874246596
BD1,2023-10-01,106.5825,10.428611,36.5015248936772
BD1,2023-11-01,106.5825,10.428611,65.4102173025901
BD1,2023-12-01,106.5825,10.428611,65.1108336358473
BD1,2024-01-01,106.5825,10.428611,65.9696146969431
BD1,2024-02-01,106.5825,10.428611,66.0570385912916
BD1,2024-03-01,106.5825,10.428611,44.6580551090277
BD1,2024-04-01,106.5825,10.428611,54.5212807678146
BD1,2024-05-01,106.5825,10.428611,37.4340511801579
BD1,2024-06-01,106.5825,10.428611,54.1997919393705
BD1,2024-07-01,106.5825,10.428611,39.1786348058034
BD1,2024-08-01,106.5825,10.428611,55.4270178195449
BD1,2024-09-01,106.5825,10.428611,56.7415030678362
BD1,2024-10-01,106.5825,10.428611,37.242584238545
BD1,2024-11-01,106.5825,10.428611,64.7946478169222
BD1,2024-12-01,106.5825,10.428611,53.9061075735683
BD1,2025-01-01,106.5825,10.428611,53.0133913527746
BD1,2025-02-01,106.5825,10.428611,53.7617163300667
BD1,2025-03-01,106.5825,10.428611,36.3584955884404
BD1,2025-04-01,106.5825,10.428611,38.3515488870082
BD1,2025-05-01,106.5825,10.428611,36.849519220145
BD1,2025-06-01,106.5825,10.428611,37.6353134437438
BD10,2023-09-01,106.303889,10.426111,54.1703299519165
BD10,2023-10-01,106.303889,10.426111,53.9506963561235
BD10,2023-11-01,106.303889,10.426111,53.9031731448385
BD10,2023-12-01,106.303889,10.426111,56.34513147079
BD10,2024-01-01,106.303889,10.426111,53.0923043115551
BD10,2024-02-01,106.303889,10.426111,68.6367577336964
BD10,2024-03-01,106.303889,10.426111,64.4462888427848
BD10,2024-04-01,106.303889,10.426111,37.9877690587509
BD10,2024-05-01,106.303889,10.426111,66.5046670868784
BD10,2024-06-01,106.303889,10.426111,37.0192162644914
BD10,2024-07-01,106.303889,10.426111,37.9717718567369
BD10,2024-08-01,106.303889,10.426111,61.0751343897972
BD10,2024-09-01,106.303889,10.426111,65.3580635931085
BD10,2024-10-01,106.303889,10.426111,66.1404310317429
BD10,2024-11-01,106.303889,10.426111,32.7873351706322
BD10,2024-12-01,106.303889,10.426111,65.0904585466618
BD10,2025-01-01,106.303889,10.426111,66.6286658311654
BD10,2025-02-01,106.303889,10.426111,65.2423095854128
BD10,2025-03-01,106.303889,10.426111,65.6578302424073
BD10,2025-04-01,106.303889,10.426111,54.1779369987292
BD10,2025-05-01,106.303889,10.426111,39.1995789064483
BD10,2025-06-01,106.303889,10.426111,67.4701029071344
BD11,2023-09-01,106.286111,10.518889,54.0917954664557
BD11,2023-10-01,106.286111,10.518889,51.5595040927024
BD11,2023-11-01,106.286111,10.518889,66.8868492675642
BD11,2023-12-01,106.286111,10.518889,44.5689918365655
BD11,2024-01-01,106.286111,10.518889,65.5055791583078
BD11,2024-02-01,106.286111,10.518889,66.1411361545717
BD11,2024-03-01,106.286111,10.518889,52.9570197409175
BD11,2024-04-01,106.286111,10.518889,39.0930160176775
BD11,2024-05-01,106.286111,10.518889,36.8798083820031
BD11,2024-06-01,106.286111,10.518889,54.1746110365052
BD11,2024-07-01,106.286111,10.518889,37.134003310813
BD11,2024-08-01,106.286111,10.518889,4.87502426448357
BD11,2024-09-01,106.286111,10.518889,55.3114004101493
BD11,2024-10-01,106.286111,10.518889,36.5105379594107
BD11,2024-11-01,106.286111,10.518889,3.73944600705106
BD11,2024-12-01,106.286111,10.518889,52.0741379759182
BD11,2025-01-01,106.286111,10.518889,53.6283586927545
BD11,2025-02-01,106.286111,10.518889,65.5828381036855
BD11,2025-03-01,106.286111,10.518889,53.5477452214577
BD11,2025-04-01,106.286111,10.518889,44.6832195752001
BD11,2025-05-01,106.286111,10.518889,53.9270759171244
BD11,2025-06-01,106.286111,10.518889,66.7841506673186
BD12,2023-09-01,106.195278,10.475556,55.0599536856708
BD12,2023-10-01,106.195278,10.475556,53.9557796686789
BD12,2023-11-01,106.195278,10.475556,53.1038029181827
BD12,2023-12-01,106.195278,10.475556,45.0993184006483
BD12,2024-01-01,106.195278,10.475556,53.4581684399254
BD12,2024-02-01,106.195278,10.475556,45.0953661249162
BD12,2024-03-01,106.195278,10.475556,53.5220817884009
BD12,2024-04-01,106.195278,10.475556,57.0602121163837
BD12,2024-05-01,106.195278,10.475556,38.2421316843645
BD12,2024-06-01,106.195278,10.475556,54.9391909609739
BD12,2024-07-01,106.195278,10.475556,36.5935929764147
BD12,2024-08-01,106.195278,10.475556,5.26915629864778
BD12,2024-09-01,106.195278,10.475556,55.297797278341
BD12,2024-10-01,106.195278,10.475556,36.4700137965856
BD12,2024-11-01,106.195278,10.475556,3.67175544041208
BD12,2024-12-01,106.195278,10.475556,54.2216118972721
BD12,2025-01-01,106.195278,10.475556,53.1606266835936
BD12,2025-02-01,106.195278,10.475556,53.4457638962516
BD12,2025-03-01,106.195278,10.475556,66.9612519119481
BD12,2025-04-01,106.195278,10.475556,36.4866049336137
BD12,2025-05-01,106.195278,10.475556,55.6503988916955
BD12,2025-06-01,106.195278,10.475556,36.7925490153673
BD13,2023-09-01,106.285833,10.3375,65.7115213866151
BD13,2023-10-01,106.285833,10.3375,64.3854800007704
BD13,2023-11-01,106.285833,10.3375,65.3080542394445
BD13,2023-12-01,106.285833,10.3375,64.1842150608284
BD13,2024-01-01,106.285833,10.3375,52.9038687829119
BD13,2024-02-01,106.285833,10.3375,66.4434628333792
BD13,2024-03-01,106.285833,10.3375,52.7826042675588
BD13,2024-04-01,106.285833,10.3375,44.8761376571888
BD13,2024-05-01,106.285833,10.3375,37.3161726480854
BD13,2024-06-01,106.285833,10.3375,55.0959462908794
BD13,2024-07-01,106.285833,10.3375,66.3182802980297
BD13,2024-08-01,106.285833,10.3375,60.0593962723329
BD13,2024-09-01,106.285833,10.3375,66.309203148659
BD13,2024-10-01,106.285833,10.3375,54.0551128686033
BD13,2024-11-01,106.285833,10.3375,44.9588226489565
BD13,2024-12-01,106.285833,10.3375,65.2558729780719
BD13,2025-01-01,106.285833,10.3375,52.9891884564577
BD13,2025-02-01,106.285833,10.3375,65.9017699841363
BD13,2025-03-01,106.285833,10.3375,66.3162250772474
BD13,2025-04-01,106.285833,10.3375,65.819727368914
BD13,2025-05-01,106.285833,10.3375,54.3619925375348
BD13,2025-06-01,106.285833,10.3375,66.9841408449538
BD14,2024-04-01,106.263056,10.458056,53.5966324407971
BD14,2024-05-01,106.263056,10.458056,64.3169398710005
BD14,2024-06-01,106.263056,10.458056,53.5401578917553
BD14,2024-07-01,106.263056,10.458056,66.2624189365923
BD14,2024-08-01,106.263056,10.458056,53.2962283413134
BD14,2024-09-01,106.263056,10.458056,54.2885662699933
BD14,2024-10-01,106.263056,10.458056,53.1506176001636
BD14,2024-11-01,106.263056,10.458056,38.8860562157371
BD14,2024-12-01,106.263056,10.458056,46.473455820712
BD14,2025-01-01,106.263056,10.458056,66.9098130604871
BD14,2025-02-01,106.263056,10.458056,38.1684419707706
BD14,2025-03-01,106.263056,10.458056,60.6859680071752
BD14,2025-04-01,106.263056,10.458056,56.6899186205125
BD14,2025-05-01,106.263056,10.458056,37.6076968774878
BD14,2025-06-01,106.263056,10.458056,37.3339312592158
BD15,2024-04-01,106.348056,10.543056,56.5266553663795
BD15,2024-05-01,106.348056,10.543056,52.5142945675459
BD15,2024-06-01,106.348056,10.543056,65.4996249031094
BD15,2024-07-01,106.348056,10.543056,44.0130072621836
BD15,2024-08-01,106.348056,10.543056,66.0280851635014
BD15,2024-09-01,106.348056,10.543056,66.5841460140983
BD15,2024-10-01,106.348056,10.543056,51.9193594803388
BD15,2024-11-01,106.348056,10.543056,38.8051904946207
BD15,2024-12-01,106.348056,10.543056,54.3924636979096
BD15,2025-01-01,106.348056,10.543056,65.2582960582424
BD15,2025-02-01,106.348056,10.543056,38.6238777131317
BD15,2025-03-01,106.348056,10.543056,3.56890476177543
BD15,2025-04-01,106.348056,10.543056,65.4802799553981
BD15,2025-05-01,106.348056,10.543056,66.0260103966997
BD15,2025-06-01,106.348056,10.543056,38.5603598320474
BD16,2024-11-01,106.520278,10.407778,55.7809288041134
BD16,2024-12-01,106.520278,10.407778,39.2051967251689
BD16,2025-01-01,106.520278,10.407778,54.3599922810675
BD16,2025-02-01,106.520278,10.407778,52.5121319111386
BD16,2025-03-01,106.520278,10.407778,54.8662613032208
BD16,2025-04-01,106.520278,10.407778,36.7909022948723
BD16,2025-05-01,106.520278,10.407778,57.9222879717895
BD16,2025-06-01,106.520278,10.407778,57.1008740567707
BD17,2024-11-01,106.504167,10.491667,44.7384136338895
BD17,2024-12-01,106.504167,10.491667,56.5700990712446
BD17,2025-01-01,106.504167,10.491667,53.8119783253171
BD17,2025-02-01,106.504167,10.491667,53.3204657932957
BD17,2025-03-01,106.504167,10.491667,54.1385108866864
BD17,2025-04-01,106.504167,10.491667,52.8793001733241
BD17,2025-05-01,106.504167,10.491667,66.2720625704701
BD17,2025-06-01,106.504167,10.491667,66.6894145890822
BD18,2024-11-01,106.4375,10.422778,56.3563616022708
BD18,2024-12-01,106.4375,10.422778,38.0445603704147
BD18,2025-01-01,106.4375,10.422778,54.9300017612173
BD18,2025-02-01,106.4375,10.422778,54.5142510035155
BD18,2025-03-01,106.4375,10.422778,53.5398619124718
BD18,2025-04-01,106.4375,10.422778,57.0156920836762
BD18,2025-05-01,106.4375,10.422778,36.2520197048037
BD18,2025-06-01,106.4375,10.422778,37.0555803889067
BD2,2023-09-01,106.545278,10.473333,38.4888962173701
BD2,2023-10-01,106.545278,10.473333,38.498002554925
